cond,position,pA,pB,pD,vA,vB,vD
X,horesrace,0.7724568995,0.3203362629,0.1352281149,92.0434868483,102.2600526301,96.394052444
X,horesrace,0.9289830741,0.9647766026,0.601397855,92.291677135,99.9721643675,98.6292815328
X,horesrace,0.1012333266,0.0044872989,0.2693536389,108.0225576801,104.7832841663,99.7842759029
X,horesrace,0.0492473757,0.4883069731,0.1991315377,101.1094279211,97.3886880441,92.8753652043
X,horesrace,0.1372094618,0.1901359109,0.4477426589,103.0136627438,91.9881680143,105.5976103961
X,horesrace,0.187118229,0.2534451853,0.6387241071,90.9281469566,97.7707738732,98.0520319729
X,horesrace,0.5481026631,0.5047955879,0.4679786323,94.4907647214,94.5500382755,97.1682132286
X,horesrace,0.2744866987,0.3712607645,0.2530546866,99.6854438415,97.3072541481,104.6435418594
X,horesrace,0.0914561867,0.5822897286,0.883684637,105.4379605953,95.893468398,95.5357454759
X,horesrace,0.625762,0.5787769831,0.6244460184,95.044825795,91.085984974,99.9190734436
X,horesrace,0.1643315665,0.5215721384,0.1349898714,90.2066630481,108.2582418665,91.9155890426
X,horesrace,0.9616667852,0.7578550568,0.0042350704,95.1553120284,99.3696772688,107.7454238204
X,horesrace,0.6943734833,0.0490908395,0.0506885613,99.9717354862,96.6831160492,94.7039898028
X,horesrace,0.6099530449,0.433665483,0.9474613976,102.0589169774,90.8945870781,100.8867884032
X,horesrace,0.8934594169,0.7673578449,0.615889861,91.8868947916,102.6768406717,99.4841015155
X,horesrace,0.8978826888,0.3069470059,0.7146658581,99.6454357177,105.1050210091,99.7975631925
X,horesrace,0.1246335809,0.8318681302,0.4866200823,88.3934167626,102.4567949717,97.0565254232
X,horesrace,0.674274408,0.9927183005,0.0080722691,101.3567957661,103.206410964,94.5331211012
X,horesrace,0.1307513653,0.3540435706,0.6880285179,100.4954643052,103.5676484084,108.3972917293
X,horesrace,0.8144329682,0.4337582805,0.949558998,92.544913161,93.5973794209,105.4389267449
X,horesrace,0.1886746674,0.6102598347,0.10286476,94.8325000776,96.750519103,105.0961338919
X,horesrace,0.1861167415,0.8449141649,0.5134478039,107.3626978227,92.1524382289,102.0809105871
X,horesrace,0.8850339344,0.4264752981,0.4279255434,98.2001322187,103.8005563046,99.8526951062
X,horesrace,0.0707278878,0.3547803834,0.6095227799,102.3079793512,108.0758979892,96.0269606327
X,horesrace,0.2797733836,0.1465277611,0.4465691815,100.5441514668,92.7901853988,111.7405802323
X,horesrace,0.4931597023,0.8290902358,0.4768013123,96.3619738461,107.0784529827,93.6215246388
X,horesrace,0.687193464,0.6824437624,0.4065485725,102.6280814225,104.8452114778,93.4697617802
X,horesrace,0.7586364748,0.0022802299,0.0939905702,100.07736867,100.0316839435,98.2402306258
X,horesrace,0.6305375658,0.2818278912,0.1105977362,97.4758122392,105.9733067921,89.5898364953
X,horesrace,0.3805667637,0.7092623031,0.0089510421,106.9223518358,96.8318738464,108.2495378526
X,horesrace,0.8474656318,0.7057991587,0.198891111,95.4030200157,101.9349303002,97.0932853225
X,horesrace,0.5074527897,0.8377919579,0.1965727003,93.0260448868,101.725944804,107.9666372644
X,horesrace,0.0050942937,0.3091665849,0.1812670825,95.7835683359,96.7960175491,99.5256179624
X,horesrace,0.5874259197,0.7444999099,0.0335672868,100.1307810553,102.2622930101,93.1396951631
X,horesrace,0.2608029575,0.1909339607,0.1404897389,101.7680755403,99.2735437375,101.3458200638
X,horesrace,0.5906606475,0.0510998368,0.5431625852,97.778762944,95.8479518667,102.0854369701
X,horesrace,0.4047852673,0.2569514867,0.5245461627,102.6696079248,105.5599974382,97.1156187869
X,horesrace,0.114721243,0.1161115435,0.7004532537,100.588089114,90.6337470612,104.7461084425
X,horesrace,0.1368367979,0.3917763156,0.2396257708,97.8172637118,100.5082611978,99.648062249
X,horesrace,0.5637282091,0.2881973935,0.3998348122,110.0987072729,92.9876574354,103.1980695542
X,horesrace,0.6722874104,0.4615643672,0.712828856,96.7337825344,100.1818770721,93.9501566033
X,horesrace,0.6674500462,0.152951295,0.5095004572,103.3262875015,111.154395853,94.7716767372
X,horesrace,0.6306384162,0.131463632,0.8055565059,97.3220414101,92.5289636833,98.8435273086
X,horesrace,0.9874756972,0.6878227368,0.8800742358,98.4800759237,105.3749902038,102.5540370193
X,horesrace,0.0385161606,0.802421272,0.5322934806,95.6099705118,103.7230852333,101.2109402251
X,horesrace,0.7386313952,0.7940007923,0.918395448,100.2563735773,105.4850995077,98.9851315885
X,horesrace,0.6655872562,0.6658625144,0.7076498764,95.037217482,104.7061508191,103.7443016069
X,horesrace,0.9380164554,0.294881786,0.0488260083,101.828608573,98.1459939125,105.039467658
X,horesrace,0.7874477697,0.7175634976,0.1778777908,102.3046876971,94.0453659948,90.8654206162
X,horesrace,0.60698567,0.6339544081,0.1761590315,97.6652671923,99.443660324,95.7285556788
X,horesrace,0.89494595,0.0350999983,0.8707512924,94.2684472019,101.1885651304,99.0927280236
X,horesrace,0.7805870357,0.2251365483,0.5450504618,89.8474527649,99.1406141493,102.794269238
X,horesrace,0.5402393928,0.6987037323,0.888513162,102.5283233515,103.8465123452,102.4835067073
X,horesrace,0.2282582892,0.3968909793,0.2079065852,95.7966558835,98.8854300638,102.4694119701
X,horesrace,0.1561278994,0.2739980686,0.6168396436,101.5555996114,97.8884391827,100.3954805826
X,horesrace,0.3359721415,0.5156301649,0.9056815519,98.6534303474,98.0923942891,102.3601121563
X,horesrace,0.321450352,0.3473502046,0.5976200092,93.7697640564,103.972409898,105.9525671013
X,horesrace,0.6592205041,0.2314505016,0.2601145941,89.5569148,96.8822991695,105.1424045969
X,horesrace,0.3001081469,0.3709274945,0.6175714529,102.7835352136,95.8282286699,95.6586700029
X,horesrace,0.3266396702,0.7697699487,0.9768607884,104.2941343482,103.7470050781,97.3691104883
X,horesrace,0.5577545098,0.5171315135,0.710679251,88.8913808754,107.8995616157,103.9597307455
X,horesrace,0.7993708146,0.7019667441,0.0942451656,88.637188702,105.0292212321,92.9374311078
X,horesrace,0.061254675,0.4684562129,0.5557433104,95.8075918698,97.2439086342,106.2430832671
X,horesrace,0.119630116,0.5286020918,0.8532857364,94.9039718114,96.1411511666,102.8187527391
X,horesrace,0.5678982474,0.1397548662,0.7691907252,104.3569409988,93.9207719077,114.7820156134
X,horesrace,0.8418540016,0.0315624387,0.3138488319,102.3395276737,104.841197906,100.1266412431
X,horesrace,0.6804985325,0.4248169337,0.8031169532,102.5207341192,99.805233431,107.6205037264
X,horesrace,0.5743113845,0.8698042922,0.4550313801,97.8327107223,100.7208803022,105.0330674148
X,horesrace,0.8208634006,0.0144883245,0.1386353581,98.8474783459,96.0561379479,103.0591292361
X,horesrace,0.9740574097,0.093556188,0.8774766803,99.2040836857,98.9724339219,109.3761379835
X,horesrace,0.9404114429,0.2988628915,0.7912810382,88.6208307667,93.7399198253,96.301006533
X,horesrace,0.9812510791,0.2548878244,0.964191098,98.6381525919,93.78955095,99.5683312032
X,horesrace,0.23071293,0.1168312542,0.6188884652,100.5383863477,108.5648540761,98.9826914252
X,horesrace,0.551711088,0.0168076744,0.4598601996,109.2470738905,108.2268253894,104.4336854777
X,horesrace,0.1050823655,0.4917137462,0.6510069151,103.6674421797,93.7600548104,104.6793416863
X,horesrace,0.113094527,0.1806781173,0.0813465742,90.4672181996,93.7132274387,103.1739950569
X,horesrace,0.1923823357,0.9583694264,0.9443714607,96.6033130419,93.6304858898,105.0755241793
X,horesrace,0.9903292409,0.3910477026,0.2071483291,101.6376462221,103.7411500064,104.8025223924
X,horesrace,0.1800100829,0.2122464934,0.9926932522,99.6136034632,98.2482804964,97.1645527717
X,horesrace,0.1424198204,0.2968062537,0.3093081801,108.3783477347,94.6527483667,99.4962228917
X,horesrace,0.5114850856,0.9051745071,0.7844600689,99.4550628667,102.7182784871,108.218799773
X,horesrace,0.8637701063,0.2353780528,0.0514194667,96.2646530965,91.6699519584,95.3216243229
X,horesrace,0.7675590308,0.1701470292,0.1239276656,106.4694794563,107.0004141723,107.3208990041
X,horesrace,0.2202354013,0.3856171344,0.3547015528,101.5834602986,97.1399548084,97.2423896722
X,horesrace,0.5089513299,0.914149998,0.1391341186,99.5456676796,99.1216415952,91.2827482858
X,horesrace,0.9144034919,0.5636048187,0.8173852798,94.7196899779,99.4426526197,93.4235961609
X,horesrace,0.2787932069,0.001773244,0.8565844004,100.6551601386,103.6971981394,97.8590238171
X,horesrace,0.4907916279,0.5455071202,0.1106376522,98.2601581666,98.6354237558,106.2382177036
X,horesrace,0.5647820346,0.9678681903,0.3480618109,102.774404676,104.1451341839,107.6140497864
X,horesrace,0.071759142,0.2449942543,0.1905015931,102.7437712057,95.6492006324,98.0643514325
X,horesrace,0.3031781605,0.210104367,0.4715869562,101.5451321378,103.3466625893,95.7533619004
X,horesrace,0.2942916837,0.3552954777,0.7711805706,100.0059044144,96.4980140841,91.287278204
X,horesrace,0.7027019546,0.2215022938,0.4235849062,100.9837309388,95.5530611127,98.0288480364
X,horesrace,0.7799300512,0.4211489309,0.5327640211,98.0260953843,95.9256603054,100.2640738418
X,horesrace,0.0304164174,0.8407514845,0.0097426414,103.2807104941,95.2263507977,101.8747646433
X,horesrace,0.9006418169,0.5837814664,0.2942527474,88.709783958,105.1547738076,100.5169235164
X,horesrace,0.8407305207,0.4821451954,0.4262192578,93.2758574612,101.0752461224,106.4711353116
X,horesrace,0.4496390743,0.1600116077,0.0789819751,101.5073473852,95.1381385483,99.9989842222
X,horesrace,0.314283418,0.7567033318,0.3820751412,96.1867538024,106.7903480653,86.8300263564
X,horesrace,0.8204317638,0.1425726188,0.0503775643,98.4463801066,107.8068961105,97.580054778
X,horesrace,0.5283146016,0.8661116259,0.7353144756,102.1518715375,99.7094277307,94.5411957942
X,horesrace,0.7429331418,0.9766985269,0.5687115148,100.9989977599,93.0787000875,103.9222260124
X,horesrace,0.3871312388,0.9104814306,0.1280551939,103.98271865,98.3712104298,96.4033312694
X,horesrace,0.6475006363,0.339915971,0.0231933952,106.5882336596,98.068450905,103.7753720867
X,horesrace,0.6393468636,0.2555941837,0.0801633873,101.7237171357,99.865068388,98.1518551729
X,horesrace,0.9539745322,0.9828327219,0.6498531965,107.11554031,102.3631083148,97.6785104565
X,horesrace,0.465903427,0.4104606146,0.3877285197,100.7812691943,95.4336528855,91.5505633285
X,horesrace,0.8759263968,0.6110953947,0.0183200196,103.5096701005,102.0880538378,91.1066871259
X,horesrace,0.0170600179,0.5525677074,0.1030834792,97.196421008,95.2004167057,101.9215511668
X,horesrace,0.6247316662,0.3401175763,0.1742807308,105.7291529708,106.4604863481,105.8189007467
X,horesrace,0.4846587649,0.375464997,0.8497339049,102.1672214151,100.6050038548,110.722521445
X,horesrace,0.7930050266,0.6549910563,0.2761402496,93.4694144781,105.4703832419,107.5710874892
X,horesrace,0.613584205,0.9940576095,0.1645964817,108.6705864363,98.5082406577,101.1434565792
X,horesrace,0.8538909485,0.4629893464,0.1915384163,97.7504998307,89.8664644667,104.5822757841
X,horesrace,0.0468607768,0.6239853303,0.5026410834,101.4792710612,102.0573801757,102.628636046
X,horesrace,0.8790476983,0.7330455158,0.2554666759,99.8142265929,97.7132272905,99.5345849005
X,horesrace,0.6411302383,0.6029695834,0.2674649418,101.5267435784,100.7060886543,99.1513076762
X,horesrace,0.010473293,0.3637935601,0.7070358177,101.9909637751,97.5024974512,105.2588081128
X,horesrace,0.0383872509,0.3693367178,0.441929999,99.433645645,103.327515638,92.7335799189
X,horesrace,0.7080868362,0.5296229355,0.1641749188,96.1769972159,102.2077938998,104.8718343874
X,horesrace,0.56035301,0.6721456542,0.673920264,93.3595871394,102.3563256215,104.5731897989
X,horesrace,0.1694796972,0.7550844611,0.3787012121,94.0462027327,111.7449485837,90.618034995
X,horesrace,0.442929697,0.2527364148,0.5272458477,101.4210060609,94.670568268,96.0661438918
X,horesrace,0.4673553621,0.9066829276,0.3594902141,102.1898166658,109.517993223,106.3329864816
X,horesrace,0.2333174886,0.4420284573,0.5151151856,93.6207594056,98.3840997311,96.1857609057
X,horesrace,0.7106342854,0.7592735041,0.4202011109,97.8389928606,112.86058852,93.5859787089
X,horesrace,0.7026902339,0.6609560489,0.5618090285,100.511069501,95.1488755721,102.9588403053
X,horesrace,0.1696429686,0.907266611,0.0705446696,103.9180514872,98.0333799008,98.2914161593
X,horesrace,0.3583745393,0.3287282181,0.3359790538,97.9716219214,103.4304344599,96.1419339331
X,horesrace,0.3087212408,0.128547485,0.9487373901,98.4797373312,100.4233429242,95.0969102388
X,horesrace,0.3843468726,0.377660546,0.3636275462,99.4315056896,103.6770707238,97.3689157255
X,horesrace,0.1803210045,0.6644355187,0.9720477043,96.4876777902,92.2402326948,99.2596898968
X,horesrace,0.8141974695,0.0468730039,0.464089486,100.6949150071,94.8061258462,99.9586481181
X,horesrace,0.1335971279,0.6768496372,0.3685877002,106.0321718042,91.9917052404,103.8024076878
X,horesrace,0.8054124604,0.5069521882,0.3090365925,109.5079202577,104.4204099889,92.388687578
X,horesrace,0.1531655088,0.5352223986,0.5501523854,101.147642247,96.7637673364,93.9486774124
X,horesrace,0.3636733775,0.0929281311,0.8213698629,102.3367600909,99.2592244588,103.2682654103
X,horesrace,0.1336888962,0.8926690558,0.6500683913,95.0185433999,100.3130862037,101.5473146359
X,horesrace,0.280853037,0.0176284225,0.5166941413,102.0139349474,106.4157752862,97.5624092183
X,horesrace,0.4039806465,0.8705686068,0.963415948,111.4423099787,96.6570793654,100.0896524516
X,horesrace,0.3426169837,0.0638694281,0.6648414424,105.0618911162,94.5103320275,101.7466777591
X,horesrace,0.4057312384,0.0319374551,0.110575977,99.7811373398,106.9418679901,99.2382805117
X,horesrace,0.7022836509,0.9788978235,0.3765932752,100.5012114425,103.9853394474,92.712138098
X,horesrace,0.4032513115,0.3987755952,0.7838794007,100.7753120405,105.8642483955,107.9217124192
X,horesrace,0.0507294014,0.119989546,0.6956749894,99.9663799197,94.1079760832,92.6305364157
X,horesrace,0.267327257,0.1882032696,0.4488617934,108.858568882,101.7686879548,108.6669856286
X,horesrace,0.9493417379,0.2347742256,0.7642213169,115.8450396191,104.0680423395,95.0832091544
X,horesrace,0.6026839819,0.7526367712,0.7387044835,101.5313630432,99.6479197822,93.362536286
X,horesrace,0.3136765934,0.9395612632,0.1166692921,104.0809028286,91.2830997515,103.9687513574
X,horesrace,0.9721815877,0.5017145062,0.0710923823,101.1566189146,96.9504505286,100.1064422977
X,horesrace,0.1359618742,0.0164814193,0.2301545723,99.605178516,93.2043292817,100.4960904052
X,horesrace,0.9041847929,0.5910960601,0.5212859449,99.6401947033,99.1329838053,97.461473929
X,horesrace,0.078758993,0.8533316951,0.2008099738,100.6253767664,105.4652047464,97.3267968575
X,horesrace,0.0882933054,0.2347658614,0.7234374883,96.8253933672,104.8458355593,93.974708296
X,horesrace,0.4681540008,0.6298964287,0.5648945821,92.5465698081,103.8152760469,110.1759546673
X,horesrace,0.1144335766,0.4191414712,0.6080528309,95.4052699528,104.6208830289,91.0770335506
X,horesrace,0.6217280519,0.0035554431,0.0211004354,108.0450397531,104.5776840202,98.5631762902
X,horesrace,0.8561669644,0.0977389922,0.2546132335,97.3530264653,100.1390002254,107.5868600809
X,horesrace,0.4470865917,0.4434297592,0.2123775487,98.8003786202,105.1867660053,94.5581714206
X,horesrace,0.325098702,0.3116994116,0.8213450313,98.8494970424,93.6392760816,100.1588967673
X,horesrace,0.2279663098,0.8455593083,0.9670931452,98.819845969,103.9292178238,100.6255751146
X,horesrace,0.0261116948,0.3568853992,0.8725420558,101.9391408545,98.9670335302,97.9723394204
X,horesrace,0.984940351,0.9285647208,0.6922204832,103.5607898408,96.6189782713,101.3464386459
X,horesrace,0.8150312817,0.9832757993,0.9308481037,98.0731923736,91.6752355635,104.6445568426
X,horesrace,0.2576946595,0.2051230287,0.7956519614,103.1829338134,98.732476971,102.6980314501
X,horesrace,0.7876685723,0.2907387626,0.9267642964,101.167880199,94.4739199257,102.0723027625
X,horesrace,0.0297896061,0.2969676792,0.8737256406,95.5462864904,101.4087713052,102.5287947546
X,horesrace,0.4525922784,0.9252964526,0.9002655561,106.038408462,100.5239244223,102.6427495089
X,horesrace,0.3814096805,0.0770665377,0.1654731855,102.2895078374,99.6930437855,100.629385765
X,horesrace,0.3889421988,0.3105511121,0.1386629052,99.7301947265,106.2593183016,103.5290427514
X,horesrace,0.0919996069,0.1306330166,0.6727871413,103.0892363546,99.1500164487,93.6474744809
X,horesrace,0.2387170349,0.6450335924,0.507294036,98.3596072048,105.766366875,108.6409207592
X,horesrace,0.9717310604,0.2031717114,0.831073954,99.157227916,98.1959462152,95.625470363
X,horesrace,0.8548580152,0.7021940993,0.6848408221,93.910703513,98.9715899495,93.1225771266
X,horesrace,0.7451802883,0.0106049075,0.0775912723,101.3547482875,96.5796542154,93.208208471
X,horesrace,0.8003733377,0.7816588632,0.5072638667,91.9873092334,100.3527128951,87.4128791316
X,horesrace,0.7513456028,0.3396379428,0.1425626779,93.886171052,101.3816374616,98.8168601369
X,horesrace,0.6468251823,0.0034484805,0.5304412914,103.0261269319,94.970414899,101.4175942723
X,horesrace,0.7663662629,0.3883824002,0.5377855401,97.4193492021,97.8875041653,98.7088335194
X,horesrace,0.3337824713,0.2976696829,0.7433607117,95.5115482796,97.1561627907,106.3378041678
X,horesrace,0.4144391834,0.427540011,0.1960807436,99.8470212257,96.8275473699,97.4879199645
X,horesrace,0.8320063581,0.8072756934,0.5245948525,98.8516610652,100.9698749325,97.1814879087
X,horesrace,0.5419241854,0.1797121472,0.2601368867,98.4686738705,98.4902091561,93.2938021943
X,horesrace,0.4258796794,0.2346044483,0.9821834632,94.4650607516,106.3138112389,94.9395883409
X,horesrace,0.5423242913,0.3722688959,0.5190684085,100.6483807359,100.3692158301,95.9263747366
X,horesrace,0.9276588147,0.7665892544,0.4251593356,103.2398536717,100.5253198113,100.3718640836
X,horesrace,0.4285391732,0.398259264,0.7993369729,97.4368748815,104.1849452104,103.6207942695
X,horesrace,0.6191919693,0.2234619358,0.8470659284,97.8485721635,103.7430555918,109.5443533695
X,horesrace,0.5788613786,0.2123836083,0.5496945842,89.8114415534,103.7529006595,104.8757059308
X,horesrace,0.9516817145,0.1354168623,0.3708624658,100.4092105068,95.6424990799,97.241359236
X,horesrace,0.3701763775,0.7019847501,0.2249101675,98.730825163,99.4594580457,93.4307290264
X,horesrace,0.3919473903,0.7630767303,0.73133808,90.9709311285,99.4775649079,100.0814747548
X,horesrace,0.1926257315,0.6209518777,0.8338405313,104.8891223433,97.9997330409,95.0006888801
X,horesrace,0.0764547745,0.934150812,0.8618630602,94.9062777396,101.4232349643,104.0649622993
X,horesrace,0.2085188711,0.8037096329,0.1865602296,101.4099276111,91.4255285259,96.53275716
X,horesrace,0.4590254638,0.7983673187,0.5240691705,103.7272082623,105.3412302126,101.8497313641
X,horesrace,0.522606296,0.5871694146,0.7078492991,100.7279447894,104.4317415161,102.57875162
X,horesrace,0.6196336804,0.7801716872,0.1925312958,101.4371400816,96.2990512932,105.0527737773
X,horesrace,0.838370539,0.8955270418,0.6773038618,108.4174868092,101.4015521388,101.6280978638
X,horesrace,0.4844060089,0.276701563,0.7244806942,94.5994661433,92.4990403179,98.3595583968
X,horesrace,0.6776650136,0.9209292957,0.2258469651,100.3810637082,95.4997816738,106.1647580457
X,horesrace,0.1407566012,0.188655986,0.3316314789,106.7655902667,103.2849017866,99.3953168389
X,horesrace,0.202606655,0.1232139803,0.4399857167,101.2963944841,108.6165475944,96.4294762354
X,horesrace,0.7712893877,0.2111517889,0.5367155045,97.8568013029,100.6272716111,105.4559071744
X,horesrace,0.1701812611,0.6478986479,0.0743583275,103.656377349,102.903886423,103.470132477
X,horesrace,0.3953061344,0.5084061502,0.4819325109,90.2945520524,102.0934492485,98.7524147939
X,horesrace,0.3904583212,0.0317163924,0.6134420985,101.1133742038,94.2572713947,102.0107423267
X,horesrace,0.1199848072,0.9448612623,0.7935942477,103.3317731737,100.5875409147,104.2452139723
X,horesrace,0.558575056,0.4504730308,0.2662350105,96.9412154719,92.745572763,96.7201582833
X,horesrace,0.8243582572,0.9573139173,0.3797130806,117.0432778051,99.4079938249,94.2709270897
X,horesrace,0.672309482,0.0517240206,0.5842168611,101.222644869,103.9769801041,94.3769918158
X,horesrace,0.8953619078,0.2292065192,0.8174240224,103.3091338902,104.7169619654,95.76388383
X,horesrace,0.195849014,0.4493799212,0.2839566106,99.2180583012,95.8830845906,103.279325651
X,horesrace,0.8596050243,0.9697694571,0.8922141241,98.032036633,106.8466633465,103.1019604416
X,horesrace,0.4091973221,0.7590012753,0.326002897,106.1236291057,105.5194040597,93.5657117258
X,horesrace,0.1810915996,0.0199739942,0.652396813,94.3961309151,101.422338395,101.9463608956
X,horesrace,0.3696145331,0.9899725616,0.7018952032,102.8127501438,99.1299982515,95.1187888928
X,horesrace,0.4502714707,0.0302593815,0.4432707219,103.1014197883,97.9443243456,103.4469318948
X,horesrace,0.8275852241,0.3414838915,0.4991967685,101.9644368706,103.5305629783,104.9452132331
X,horesrace,0.6694607413,0.7112490623,0.9627262775,104.9511676151,105.2276327107,98.2297229161
X,horesrace,0.797635949,0.652850352,0.1976488733,94.8779600962,105.5375199615,108.8146727288
X,horesrace,0.9202303051,0.8691117698,0.1166681787,99.8206179274,101.6187979561,102.9631605388
X,horesrace,0.2399993362,0.2231353747,0.6322065517,103.2661593164,98.4161793662,95.600723369
X,horesrace,0.3927289932,0.1069124946,0.938296546,98.464290616,96.7834585651,103.8697485404
X,horesrace,0.5789104826,0.2092938847,0.3238358803,103.4173878006,99.9407051648,101.0213944494
X,horesrace,0.7302060288,0.2326718683,0.1718996498,99.028665251,101.4993916332,108.7463808714
X,horesrace,0.9450238475,0.6312838239,0.4047699112,103.005248763,101.157504612,96.5230998073
X,horesrace,0.4832617056,0.3348465408,0.5959103967,106.4481555974,101.8758154767,106.6669877376
X,horesrace,0.5944193534,0.1129717198,0.2694337042,96.0073942893,97.6757493835,106.0833734642
X,horesrace,0.6973022223,0.7263576675,0.1610727089,89.2987119981,97.1668036984,97.5211312943
X,horesrace,0.9875949568,0.767639207,0.5857070568,98.0183240345,105.1368338538,98.9648366247
X,horesrace,0.7302131841,0.4551050437,0.6720157797,97.6836746,102.6116551764,98.0374906714
X,horesrace,0.9627402988,0.0521421216,0.7881617576,94.5083313237,102.5032797255,111.3353766936
X,horesrace,0.8526603673,0.7475172207,0.8368137632,91.9239444921,91.5444481771,97.9929833564
X,horesrace,0.5311599588,0.0317221105,0.4708186551,109.5583387279,95.7786230508,107.3145625
X,horesrace,0.2122816057,0.7686486009,0.685292328,107.210666748,97.768589149,97.7366493718
X,horesrace,0.9904098851,0.8000374688,0.9738144332,102.3385052442,107.9755237298,106.6262891148
X,horesrace,0.71562148,0.4258213683,0.1067075804,99.8733718165,99.0308694808,97.628612864
X,horesrace,0.1974590605,0.7736873382,0.3269370715,102.632557569,106.6439901952,94.2867560286
X,horesrace,0.7567372283,0.3421488896,0.2948071805,98.4660763442,111.5595482127,100.0209311988
X,horesrace,0.8951131045,0.1764239613,0.4655080996,95.2670286469,97.7459874032,101.41491057
X,horesrace,0.6761241949,0.964282789,0.7709362395,96.754231014,100.6946170457,96.3734470065
X,horesrace,0.1954993412,0.956908212,0.3742063858,104.4857607546,102.1651777005,92.5211144489
X,horesrace,0.290108955,0.6890667316,0.9823531478,99.1331756815,103.2627423196,96.0772487864
X,horesrace,0.9617488023,0.1749653593,0.3941228052,102.5064714286,102.1818438588,105.9626316415
X,horesrace,0.1296957002,0.1320573022,0.56327672,104.8660439879,98.9545949804,110.755799189
X,horesrace,0.2378893238,0.0733345142,0.7073132391,100.1856612053,104.5477816018,101.3744174725
X,horesrace,0.1552591042,0.9265693412,0.841254838,103.9932287258,102.4061758065,101.3142611152
X,horesrace,0.2819725859,0.5656567917,0.4259217232,100.5584718184,93.0806580723,111.2328074078
X,horesrace,0.8056959594,0.8229741331,0.9278938959,97.0078876838,97.9963646643,94.8164820579
X,horesrace,0.9896602272,0.7079845949,0.1953260303,103.340559462,103.5816146178,98.4736626964
X,horesrace,0.1265018089,0.209104439,0.4548073127,98.2948239485,96.9210381452,106.0391465939
X,horesrace,0.8947037661,0.0334757613,0.9133530231,94.1999227511,90.6206928502,97.9713251416
X,horesrace,0.2976754857,0.1556836721,0.346432406,98.8208848334,105.4639770278,97.4589897726
X,horesrace,0.1082086253,0.1814878439,0.3693603915,95.7793721028,110.3476189105,96.7049742713
X,horesrace,0.6247598212,0.899643989,0.9518369832,97.8743251638,94.1890058467,93.1393654187
X,horesrace,0.510544881,0.1399598124,0.113919318,107.4327988336,102.7377401597,99.349723642
X,horesrace,0.0523456386,0.7566387877,0.0999251602,98.0969400497,98.2881411229,113.7720843751
X,horesrace,0.8656254611,0.3980910541,0.9418617897,92.2927564491,94.0340983024,96.8307533381
X,horesrace,0.4629134748,0.6677239628,0.3857293809,95.9151223045,102.0313247747,105.3795257814
X,horesrace,0.3071292993,0.9193546269,0.1732434107,96.4852697403,104.5350453168,96.7408265032
X,horesrace,0.6623079723,0.9797710399,0.092246332,111.2817261621,107.4156408347,98.4117569639
X,horesrace,0.9351268073,0.7628584369,0.9252469765,104.5230674849,101.360495758,98.9753722824
X,horesrace,0.9521304725,0.4596880297,0.3955540031,99.1047319221,98.8402327293,100.6607811388
X,horesrace,0.5545730758,0.3274863572,0.6018491152,105.0593726025,101.4822881006,101.3124909938
X,horesrace,0.5398747693,0.5395103802,0.3900667706,103.0865674534,109.0661532648,98.8152238438
X,horesrace,0.1493802329,0.1626987827,0.4317160258,106.250360117,102.101153494,97.6567761803
X,horesrace,0.8504531046,0.5423469895,0.4411533193,96.1964382749,96.0599658416,107.9517439109
X,horesrace,0.9847235808,0.1565063426,0.0713338524,93.2072314511,92.7437177514,94.6560113927
X,horesrace,0.9676547619,0.4676881309,0.0232603799,103.2068634743,103.7694153549,103.7771698162
X,horesrace,0.6773435245,0.6295903008,0.2924419127,92.5365757863,86.3098958414,103.4783231145
X,horesrace,0.2395567929,0.2714404687,0.497769925,100.6481244528,99.6079957431,96.0762771725
X,horesrace,0.1842647709,0.436259133,0.740458037,95.7320372695,98.5325494373,98.6291885383
X,horesrace,0.5023096947,0.9486829562,0.4997663817,99.2504362791,108.6684030999,95.6276236665
X,horesrace,0.2276324965,0.9333190755,0.8067944092,98.5892053641,93.6681174467,99.9574167177
X,horesrace,0.5346872224,0.287746802,0.4947130547,103.0894232095,101.1562330648,100.3010872413
X,horesrace,0.4682517375,0.8335264707,0.5473894889,99.5914996844,98.2852103638,105.0587342611
X,horesrace,0.188413257,0.0864559796,0.3389434041,96.8359995526,101.7060629435,102.830892963
X,horesrace,0.0613082347,0.2828588274,0.2582378876,98.3280593569,99.37741291,96.784477132
X,horesrace,0.1025283262,0.3980988599,0.7192498778,100.2790488636,103.081281971,100.9043843155
X,horesrace,0.338417714,0.9966323669,0.0507481236,103.16384271,101.8225319113,95.9974558953
X,horesrace,0.6661750306,0.316312955,0.8770806051,105.345893578,105.2002816718,92.3523417981
X,horesrace,0.5464642174,0.9746154433,0.353787547,101.5914920636,95.3249155096,106.4640076827
X,horesrace,0.2806342277,0.2507898998,0.597422021,103.485283394,97.839721651,100.7925405938
X,horesrace,0.5354349436,0.8071380802,0.4214121362,97.95150338,95.2339175848,99.0266848299
X,horesrace,0.1415331047,0.5507424877,0.471047227,101.6080462862,85.9156174614,103.0340920592
X,horesrace,0.6214093415,0.1185350739,0.0344867241,96.8020900262,103.0015640821,98.6910983688
X,horesrace,0.6063577242,0.8782778215,0.0695344205,98.1455910062,97.9135622965,97.5225815846
X,horesrace,0.3981547279,0.2867008194,0.4945894189,88.9562883189,102.5811130364,97.8021673752
